temperature,humidity,soil_moisture,aqi_sensor,pump_state
18.76,59.45,DRY,237.06,ON
28.97,6.78,WET,601.53,ON
53.63,24.95,DRY,355.35,ON
41.74,10.05,DRY,718.2,ON
37.91,48.45,WET,804.43,OFF
4.74,63.99,WET,696.13,OFF
32.37,42.22,DRY,970.05,ON
49.81,74.09,WET,776.39,ON
35.5,35.55,DRY,466.94,ON
35.05,76.78,DRY,228.44,ON
16.97,34.6,DRY,723.03,ON
40.42,96.88,WET,876.15,OFF
54.21,41.06,DRY,865.81,ON
32.51,6.82,DRY,290.14,ON
23.92,55.0,DRY,740.56,ON
50.55,25.83,DRY,78.77,ON
36.47,43.09,DRY,334.85,ON
20.83,16.02,WET,865.71,OFF
58.78,43.47,WET,662.02,ON
12.42,85.15,WET,58.77,OFF
0.09,86.45,DRY,287.17,ON
47.12,42.69,DRY,160.67,ON
45.65,64.23,WET,988.85,OFF
22.5,30.91,DRY,711.9,ON
13.74,99.29,WET,62.07,OFF
26.72,76.89,WET,594.48,OFF
17.8,90.69,DRY,855.83,ON
44.18,83.47,WET,400.01,OFF
25.88,53.02,DRY,307.21,ON
2.83,26.71,DRY,972.28,ON
23.33,76.55,DRY,918.92,ON
37.55,67.35,WET,717.91,OFF
28.82,72.26,WET,292.46,OFF
53.27,17.02,WET,670.2,ON
23.33,26.42,WET,756.79,OFF
4.24,99.07,DRY,366.8,ON
35.22,14.61,WET,670.8,OFF
32.92,8.4,DRY,370.27,ON
44.13,63.66,WET,815.57,OFF
42.64,63.16,WET,828.88,OFF
34.8,26.62,WET,510.77,OFF
49.34,52.44,WET,316.07,ON
11.47,61.09,WET,561.75,OFF
19.14,98.4,DRY,510.36,ON
50.12,98.34,DRY,404.84,ON
3.61,54.31,DRY,818.47,ON
57.74,26.19,DRY,221.13,ON
32.06,55.51,WET,905.84,OFF
27.7,94.89,DRY,788.83,ON
22.78,85.98,WET,303.57,OFF
24.62,45.28,DRY,64.67,ON
3.94,12.18,WET,726.53,OFF
8.73,19.48,DRY,903.35,ON
40.06,25.63,DRY,656.61,ON
57.07,81.9,WET,823.01,ON
25.79,70.9,DRY,677.1,ON
23.8,52.38,WET,905.76,OFF
20.06,40.59,DRY,934.49,ON
16.26,37.44,WET,779.3,OFF
9.68,62.54,WET,591.28,OFF
42.25,37.63,DRY,368.43,ON
56.96,16.73,WET,340.48,ON
27.88,92.24,DRY,996.11,ON
37.89,19.73,WET,812.84,OFF
14.28,56.03,WET,56.26,OFF
37.96,62.74,DRY,913.84,ON
5.49,40.72,WET,413.65,OFF
4.77,92.59,DRY,318.56,ON
21.59,54.27,WET,105.55,OFF
41.15,15.96,DRY,654.37,ON
